1_1	1	holds	0.9043560099999013
1_2	1	holds	0.7880940459999692
1_3	1	holds	0.9245396309997886
1_4	1	holds	0.9656068850003976
1_5	1	holds	0.8446183510000083
1_6	1	holds	1.196503741000015
1_7	1	holds	0.808026460000292
1_8	1	holds	0.9573915300002227
1_9	1	holds	0.8042166159998487
2_1	1	holds	1.1209990369998195
2_2	1	holds	1.7087243790001594
2_3	1	holds	1.1613365090001935
2_4	1	holds	0.9574187419998452
2_5	1	holds	1.8466215160001411
2_6	1	holds	1.4431563950001873
2_7	1	holds	2.3480638519999957
2_8	1	holds	2.318937098999868
2_9	1	holds	2.8056320679997953
3_1	1	holds	1.2376797009997063
3_2	1	holds	0.9724264610003956
3_3	1	holds	1.070452067000133
3_4	1	holds	0.9990605680000044
3_5	1	holds	1.5322425320000548
3_6	1	holds	2.732518211000297
3_7	1	holds	2.80690223900001
3_8	1	holds	2.270682258999841
3_9	1	holds	1.9475103509998917
4_1	1	holds	1.7216154990001087
4_2	1	holds	1.4699284230000558
4_3	1	holds	1.0863630010003362
4_4	1	holds	0.9984481520000372
4_5	1	holds	1.7592643689999932
4_6	1	holds	3.880900425999698
4_7	1	holds	2.697740133000025
4_8	1	holds	2.1644025819996386
4_9	1	holds	4.875907913999981
5_1	1	holds	0.9030499149998832
5_2	1	holds	1.1990285560000302
5_3	1	holds	0.8971496559997831
5_4	1	holds	1.0259503389997917
5_5	1	holds	1.358612385000015
5_6	1	holds	1.9843674220001049
5_7	1	holds	1.812679677000233
5_8	1	holds	60.81807424700037
5_9	1	holds	2.6333773339997606
1_1	2	holds	0.9800955360001353
1_2	2	violated	0.6960424779999812
1_3	2	violated	1.2031206550000206
1_4	2	violated	0.8025689860000966
1_5	2	violated	0.6941987039999731
1_6	2	violated	0.9675025589999677
1_7	2	holds	1.3338301939998018
1_8	2	holds	1.8024978519997603
1_9	2	holds	1.183240873000159
2_1	2	violated	0.5970987299997432
2_2	2	violated	0.5325923400000647
2_3	2	violated	0.534883581000031
2_4	2	violated	0.5589424320000944
2_5	2	violated	0.537124753000171
2_6	2	violated	0.535254046999853
2_7	2	violated	0.5457094250000409
2_8	2	violated	0.5401459329996214
2_9	2	violated	0.7666486980001537
3_1	2	violated	0.5394196600000214
3_2	2	violated	0.6294863789998999
3_3	2	holds	8.498021332999997
3_4	2	violated	0.5545029489999251
3_5	2	violated	0.5482701840001027
3_6	2	violated	0.6082544519999828
3_7	2	violated	1.192009420999966
3_8	2	violated	0.5945857390001947
3_9	2	violated	0.5619441099997857
4_1	2	violated	0.6116466870003023
4_2	2	holds	8.846945876000063
4_3	2	violated	0.5361383500003285
4_4	2	violated	0.5833237609999742
4_5	2	violated	0.567370579999988
4_6	2	violated	0.5469824629999493
4_7	2	violated	0.539594180000222
4_8	2	violated	0.5383680859999913
4_9	2	violated	0.6209717869996894
5_1	2	violated	0.5907652189998771
5_2	2	violated	0.5802297280001767
5_3	2	violated	1.4751056009999957
5_4	2	violated	0.5441757539997525
5_5	2	violated	0.533761632000278
5_6	2	violated	0.5479975940002078
5_7	2	violated	0.5569416580001416
5_8	2	violated	0.5361532949996217
5_9	2	violated	0.5543961109997326
1_1	3	holds	1.0303425869997227
1_2	3	holds	0.8666040670000257
1_3	3	holds	0.7994724420000239
1_4	3	holds	0.561560795999867
1_5	3	holds	0.5798532259996136
1_6	3	holds	0.5628429560001678
1_7	3	violated	0.5334769849996519
1_8	3	violated	0.5570563269998274
1_9	3	violated	0.5226849399996354
2_1	3	holds	0.6603270560003693
2_2	3	holds	0.6571514960000968
2_3	3	holds	0.7812321330002305
2_4	3	holds	0.4914804620002542
2_5	3	holds	0.5595741070001168
2_6	3	holds	0.5734817150000708
2_7	3	holds	0.5573481660003381
2_8	3	holds	0.6669260520002354
2_9	3	holds	0.4846144279999862
3_1	3	holds	0.5700816839998879
3_2	3	holds	0.8372249189997092
3_3	3	holds	0.6850155879997146
3_4	3	holds	0.6003251970000747
3_5	3	holds	0.6098950219998187
3_6	3	holds	0.620642365999629
3_7	3	holds	0.5602219299998978
3_8	3	holds	0.5658116099998551
3_9	3	holds	0.552531899999849
4_1	3	holds	0.6674324670002534
4_2	3	holds	0.7825481479999326
4_3	3	holds	0.8761174090000168
4_4	3	holds	0.5477586719998726
4_5	3	holds	0.5502996500003974
4_6	3	holds	0.5886514989997522
4_7	3	holds	0.5590907619998688
4_8	3	holds	0.6106577890000153
4_9	3	holds	0.6191023359997416
5_1	3	holds	0.7421297539999614
5_2	3	holds	0.5615503330000138
5_3	3	holds	0.5828181199999563
5_4	3	holds	0.5567548889998761
5_5	3	holds	0.5818830389998766
5_6	3	holds	0.5829099329998826
5_7	3	holds	0.5410349799999494
5_8	3	holds	0.5600341130002562
5_9	3	holds	0.49583874500012826
1_1	4	holds	0.7846132449999459
1_2	4	holds	0.7117158299997755
1_3	4	holds	0.6968367819999912
1_4	4	holds	0.5794033140000465
1_5	4	holds	0.6153168639998512
1_6	4	holds	0.5713628750004318
1_7	4	violated	0.5243139690001044
1_8	4	violated	0.530925661999845
1_9	4	violated	0.5253087870000854
2_1	4	holds	0.5869121629998517
2_2	4	holds	0.6007424600002196
2_3	4	holds	0.5631608909998249
2_4	4	holds	0.5807316190002894
2_5	4	holds	0.5762081979996765
2_6	4	holds	0.6151470889999473
2_7	4	holds	0.5440789340000265
2_8	4	holds	0.6240523799997391
2_9	4	holds	0.4839983410001878
3_1	4	holds	0.5811091129999113
3_2	4	holds	0.6042144879997977
3_3	4	holds	0.5547099959999287
3_4	4	holds	0.5610378669998681
